ds,o_meat_beef,h_meat_beef,l_meat_beef,y,inflation_meat_beef
2007-01-01,107630.8684375,108147.01765625,107222.62531250001,107693.2171875,-0.3455528185494301
2007-02-01,107747.21703125,108223.55046875,107254.180625,107635.52578125,-0.44659024690783433
2007-03-01,107690.9925,108142.31484375,107220.7171875,107622.01640625,-0.45011709941848727
2007-04-01,107681.48203125,108190.3990625,107253.55203125,107883.15765625,-0.26189633840304427
2007-05-01,107940.3159375,108479.0665625,107498.03359375,108181.800625,-0.12740242814983582
2007-06-01,108238.05296875,108700.05671875,107794.38265625,108292.11265625,-0.22060439649283364
2007-07-01,108370.50921875,108853.11265625,107925.46453124999,108443.66046875,-0.16077059332970656
2007-08-01,108493.7690625,108919.34953125,107950.1609375,108240.44375,-0.32255484203049345
2007-09-01,108308.7746875,108756.21,107841.76375,108254.5678125,-0.23935367986700395
2007-10-01,108318.03421875,108742.96375,107851.48406249999,108284.7728125,-0.2481265125524284
2007-11-01,108334.28265625,108810.7528125,107898.99953125,108404.29734375,-0.19945188723538704
2007-12-01,108469.514375,108949.16984375,107981.33625000001,108512.80515625,-0.1569568044970543
2008-01-01,108568.60578125,109003.41578125,107891.65796875,108102.29640625,0.38203125
2008-02-01,108172.39890625,108942.5440625,107689.98078125,108795.37453125,1.0721875
2008-03-01,108846.893125,109386.9165625,108320.25578125,108904.1953125,1.19390625
2008-04-01,108997.1171875,109468.8984375,108500.444375,108998.46828125,1.03703125
2008-05-01,109059.58546875,109543.298125,108581.00984375,109072.94640625,0.82578125
2008-06-01,109123.91328125,109599.839375,108678.52296875,109230.62265625,0.8696875
2008-07-01,109290.8275,109737.56234375,108876.99953125,109473.86609375,0.94953125
2008-08-01,109534.58921875,109944.7003125,109125.98328125,109524.65609375,1.18890625
2008-09-01,109581.44203125,109973.27078125,109148.87875,109492.08703125,1.14625
2008-10-01,109532.7740625,109928.3953125,108872.4071875,109035.13546875,0.6946875
2008-11-01,109109.55828125,109556.9953125,108037.2153125,108109.6209375,-0.2803125
2008-12-01,108206.51109375,108878.23421875,107598.89671875,108554.37265625,0.03781250000000001
2009-01-01,108592.92703125,109102.58421875,108090.38796875,108606.36578125,0.4628125
2009-02-01,108707.92515625,109159.6240625,108001.37484375,108136.063125,-0.61140625
2009-03-01,108247.08,108734.43625,107747.60578125,108100.29609375,-0.75359375
2009-04-01,108196.011875,108815.0359375,107748.91234375,108663.14296875,-0.31390625
2009-05-01,108726.50671875,109338.3878125,108236.16265625,108964.35734375,-0.101875
2009-06-01,109023.8346875,109526.6565625,108543.15125,109126.829375,-0.0984375
2009-07-01,109198.5496875,109614.49125,108771.405625,109110.14578125,-0.33265625
2009-08-01,109211.02953125,109614.715625,108803.306875,109169.74609375,-0.3221875
2009-09-01,109235.77953125,109623.56609375,108825.475,109153.5775,-0.31296875
2009-10-01,109224.56421875,109693.854375,108818.7471875,109334.48265625,0.2721875
2009-11-01,109388.16890625,109809.2534375,108949.1596875,109332.0915625,1.14609375
2009-12-01,109404.79859375,109799.11203125,108930.0721875,109234.62921875,0.631875
2010-01-01,109288.84,109698.83375,108834.00203125,109156.73390625,0.5184375
2010-02-01,109222.81015625,109656.39125,108804.99734375,109174.01140625,0.9725
2010-03-01,109256.7459375,109695.7509375,108849.2478125,109341.54109375,1.1609375
2010-04-01,109429.0503125,109832.9065625,109001.0925,109356.070625,0.64453125
2010-05-01,109423.73328125,109804.9890625,108925.016875,109152.7384375,0.17359375000000002
2010-06-01,109234.77984375,109674.6371875,108744.77296875,109108.7259375,-0.015781249999999997
2010-07-01,109180.30859375,109612.2775,108742.9553125,109169.5884375,0.05421875
2010-08-01,109256.81,109671.49953125,108849.0884375,109239.41734375,0.06359374999999999
2010-09-01,109311.88140625,109701.9109375,108893.564375,109240.99140625,0.08203125
2010-10-01,109321.3865625,109706.855625,108902.55625,109216.10234375,-0.104375
2010-11-01,109289.458125,109677.00078125,108886.82265625,109220.4121875,-0.10421875
2010-12-01,109309.86109375,109741.61734375,108902.75953125,109325.9146875,0.0825
2011-01-01,109383.67218750001,109799.53125,108936.10171875,109311.71703125,0.13140625
2011-02-01,109381.09609375,109859.91703125,108961.3303125,109511.44078125,0.3053125
2011-03-01,109583.64765625,110056.38015625,109174.78578125,109781.785625,0.4090625
2011-04-01,109870.53859375,110330.72765625,109458.245,109974.24515625,0.56828125
2011-05-01,110041.901875,110453.3846875,109610.4225,109964.506875,0.74703125
2011-06-01,110045.54078125,110456.7971875,109611.8096875,110009.92109375,0.82796875
2011-07-01,110050.928125,110489.00421875,109621.24078125,110056.87140625001,0.8146875
2011-08-01,110124.6703125,110525.00171875,109700.7115625,110060.81703125,0.75125
2011-09-01,110109.29359375,110487.33953125,109579.64031249999,109771.08328125,0.48296875
2011-10-01,109862.8334375,110273.90421875,109314.85546875,109535.44703125,0.288125
2011-11-01,109601.8834375,110020.38734375,109112.19734375,109492.72765625,0.24406250000000002
2011-12-01,109563.8471875,110097.74625,109120.36453125,109735.41390625,0.3759375
2012-01-01,109809.87984375,110258.75765625,109348.82453125,109737.30609375,0.3934375
2012-02-01,109831.235625,110251.9053125,109394.25484375,109809.11453125,0.27578125
2012-03-01,109881.76609375,110289.9821875,109422.5425,109752.60453125,-0.0321875
2012-04-01,109845.15296875,110246.896875,109421.3240625,109757.2590625,-0.20187500000000003
2012-05-01,109833.1346875,110248.0134375,109340.6403125,109590.51234375,-0.33875
2012-06-01,109685.52453125,110129.55328125,109199.4903125,109530.09609375,-0.4346875
2012-07-01,109618.5365625,110031.9659375,109189.42359375,109574.8465625,-0.44109375
2012-08-01,109659.0915625,110054.643125,109240.8496875,109594.10046875,-0.4215625
2012-09-01,109663.275,110049.995,109252.1671875,109526.25546875,-0.223125
2012-10-01,109602.66140625,109998.60875,109170.49796875,109458.94484375,-0.0684375
2012-11-01,109555.4465625,109997.235625,109167.6134375,109697.6715625,0.195625
2012-12-01,109778.25703125,110286.889375,109361.08375,109972.80828125,0.224375
2013-01-01,110063.77484375,110529.26546875,109609.87125,110110.2653125,0.34734375
2013-02-01,110179.07609375,110599.85203125,109758.7434375,110176.72640625,0.3409375
2013-03-01,110245.36609375,110636.09609375,109827.27109375,110163.25875,0.37593750000000004
2013-04-01,110244.88703125,110624.74375,109817.65484375,110107.803125,0.32796875000000003
2013-05-01,110169.0890625,110594.73078125,109667.1125,110003.9009375,0.37921875
2013-06-01,110071.24890625,110516.41171875,109643.04546875,110076.21375,0.4971875
2013-07-01,110127.66109375,110508.9453125,109719.78671875,110047.718125,0.43921875
2013-08-01,110132.22046875,110531.70375,109590.7184375,109832.44953125001,0.22046875
2013-09-01,109906.70546875,110350.00546875,109402.65796875,109817.61203125,0.27625
2013-10-01,109901.4671875,110333.79328125,109440.564375,109758.27625,0.28078125
2013-11-01,109849.4321875,110256.509375,109418.33453125,109767.8778125,0.0659375
2013-12-01,109858.02265625,110286.7228125,109392.32453125,109715.225625,-0.2440625
2014-01-01,109818.1115625,110232.1084375,109380.67109375,109716.09234375,-0.36375
2014-02-01,109807.50421875,110222.53390625,109399.041875,109802.37546875,-0.3421875
2014-03-01,109892.195,110348.4490625,109484.12171875,110067.9575,-0.08406250000000001
2014-04-01,110132.2634375,110556.50734375,109694.265,110085.42296875,-0.0209375
2014-05-01,110162.76375,110564.80546875,109738.57859375,110090.05609375,0.08281250000000001
2014-06-01,110162.84453125,110597.94640625,109634.95734375,110049.08328125,-0.021718749999999995
2014-07-01,110128.1103125,110605.22890625,109652.40328125,110131.42859375,0.0778125
2014-08-01,110206.09015625,110641.8546875,109742.535625,110196.97171874999,0.3346875
2014-09-01,110281.19171875,110702.7253125,109834.51703125,110187.415,0.3296875
2014-10-01,110258.18734375,110660.58437499999,109742.0109375,110010.44609375,0.22296875
2014-11-01,110104.85546875,110528.2121875,109671.3715625,110066.06234375,0.26671875
2014-12-01,110131.90578125,110547.29078125,109599.21390624999,109868.76125,0.150625
2015-01-01,109961.12390625,110386.7903125,109490.84625,109765.24375,0.04984375
2015-02-01,109850.95125,110256.45953125,109392.9775,109668.14890625,-0.12109375
2015-03-01,109748.2371875,110160.24546875,109298.06703125,109601.54765625,-0.42625
2015-04-01,109684.80046875,110077.263125,109215.8396875,109478.48859375,-0.5549999999999999
2015-05-01,109570.37171875,110049.5759375,109167.61140625,109695.3846875,-0.36046875
2015-06-01,109771.21015625,110509.93484375,109380.985625,110346.12125,0.27609374999999997
2015-07-01,110406.33265625,111288.24609375,109934.9575,111159.744375,0.93953125
2015-08-01,111229.4171875,111936.5884375,110670.4209375,111567.93734375,1.24671875
2015-09-01,111652.8571875,112477.1484375,111108.214375,112129.79593749999,1.77703125
2015-10-01,112158.8928125,112736.29109375,111219.23375,111444.83359375,1.3134375
2015-11-01,111504.83265625,112108.7984375,110716.3134375,110984.19765625,0.84234375
2015-12-01,110988.24171875,111555.0184375,110074.5940625,110246.01890625,0.3453125
2016-01-01,110315.5328125,110900.6934375,109503.93546875,109700.615,-0.05859375
2016-02-01,109804.35265625,110369.65515625,109194.13921875,109644.01234375,-0.023437500000000003
2016-03-01,109764.11453125,110289.9640625,109204.6103125,109725.97171875,0.1196875
2016-04-01,109816.52453125,110294.38,109303.424375,109678.82953125,0.1865625
2016-05-01,109773.87828125,110222.0459375,109239.47828125,109570.96046875,-0.1153125
2016-06-01,109679.32203125,110196.09828125,109154.54140625,109708.376875,-0.58578125
2016-07-01,109809.705,111123.4028125,108617.22515625,110027.22328125,-1.0970312500000001
2016-08-01,110104.878125,111134.826875,108676.94921875,109636.5896875,-1.8078125
2016-09-01,109734.7459375,110793.64859375,108661.64609375,109717.9146875,-2.21609375
2016-10-01,109816.29421875,110707.67453125,108834.781875,109709.046875,-1.5990625
2016-11-01,109767.50171875,110713.998125,108576.94484375,109495.66546875,-1.37421875
2016-12-01,109511.29109375,110506.32625,108519.53078125,109468.90921874999,-0.75546875
2017-01-01,109489.71625,110643.68640625,108147.485625,109316.49234375,-0.39921874999999996
2017-02-01,109375.33875,110391.7009375,108466.27125,109479.09703125,-0.19656250000000008
2017-03-01,109521.1321875,110613.51890625,108672.55984375,109868.24578124999,0.07359375000000005
2017-04-01,109915.34359375,111808.09578125,108519.91765625,110475.1265625,0.7359375
2017-05-01,110525.59046875,111808.94671875,109555.14453125,110975.36609375,1.29484375
2017-06-01,111001.31609375,111829.00953125,110218.8,111224.60640625,1.39734375
2017-07-01,111276.475625,111997.88390625,110597.143125,111453.72953125,1.4534375
2017-08-01,111489.9303125,112079.6459375,110868.48578125,111388.8821875,1.8275
2017-09-01,111469.73171875,112025.04859375,110916.32671875,111416.211875,1.831875
2017-10-01,111507.448125,112011.57234375,110964.87125,111449.70140625,1.9020312499999998
2017-11-01,111550.96984375,112079.61625,111048.16640625,111581.0834375,2.18359375
2017-12-01,111663.97390625,112170.23375,111182.09171875,111693.08265625,2.34921875
2018-01-01,111764.22562499999,112251.645625,111251.43453125,111673.7953125,2.43234375
2018-02-01,111736.7309375,112231.1628125,111261.68,111756.54703125,2.33984375
2018-03-01,111799.295,112260.25921875,111333.086875,111774.28765625,1.96296875
2018-04-01,111827.63578125,112274.2065625,111341.55546875,111722.0434375,1.1596875
2018-05-01,111804.7275,112294.29390625,111304.1490625,111763.875,0.71640625
2018-06-01,111853.11828125,112326.97875,111397.7846875,111845.04734375,0.55390625
2018-07-01,111937.930625,112462.8159375,111477.415,112036.97,0.51453125
2018-08-01,112100.81234375,112547.504375,111474.26671875,111678.71625,0.25921875
2018-09-01,111773.93625,112352.2109375,111249.69734375,111855.33734375,0.39203125
2018-10-01,111897.8534375,112582.23453125,111383.7859375,112192.42890625,0.66296875
2018-11-01,112295.2334375,112868.66265625,111681.48015625,112117.30859375,0.4859375
2018-12-01,112187.18328125,113160.11765625,111675.16484375,112906.8153125,1.08609375
2019-01-01,112958.54109375,113596.945,112295.94703125,112789.405,1.01203125
2019-02-01,112864.5284375,113415.7090625,112274.936875,112735.1984375,0.8821875
2019-03-01,112783.99328125,113370.071875,112254.90375,112884.90390625,0.99890625
2019-04-01,112944.365625,113463.6084375,112381.8090625,112785.8675,0.96171875
2019-05-01,112857.79109375,113371.73890625,112267.4159375,112685.6515625,0.81828125
2019-06-01,112767.43484375,113317.19015625,112225.89109375,112870.29875,0.92234375
2019-07-01,112941.7175,113499.0175,112401.34625,112979.00578125,0.86140625
2019-08-01,113036.9884375,113606.87359375,112492.60015625,113027.28484375,1.2084375
2019-09-01,113091.10609375,113661.47890625,112508.7671875,113087.84953125,1.1171875
2019-10-01,113141.125625,113676.10109375,112597.2146875,113152.604375,0.870625
2019-11-01,113219.863125,113773.07640625,112730.584375,113308.8125,1.06765625
2019-12-01,113379.57703125,114019.19953125,112905.6925,113727.2846875,0.73515625
2020-01-01,113802.92828125,115393.29765625,112493.983125,114099.82296875,1.17265625
2020-02-01,114222.00875,115603.26140624999,113104.72453125,114707.49968749999,1.764375
2020-03-01,114788.68203125,116029.39031249999,113966.19125,115441.4525,2.26609375
2020-04-01,115432.86421875,116425.5928125,114515.78390625,115545.3709375,2.43671875
2020-05-01,115580.684375,116549.581875,114574.54734375,115516.51484375,2.51703125
2020-06-01,115572.8321875,116493.36125,114459.85015625,115216.0284375,2.08609375
2020-07-01,115257.255625,116171.44515625,114440.284375,115409.3303125,2.1579687499999998
2020-08-01,115413.70828125,116240.5515625,114465.75171875,115181.33625,1.93125
2020-09-01,115215.918125,116026.78765625,114315.176875,114960.6634375,1.6653125
2020-10-01,114997.8865625,115836.4025,114105.909375,114877.30421875,1.4975
2020-11-01,114932.56265625,115843.0771875,114160.4653125,115040.90328125,1.4878125
2020-12-01,115066.82921875,115897.6734375,114352.2959375,115213.55109375,1.30859375
2021-01-01,115276.1228125,116075.72859375,114517.42390625,115361.5515625,1.12828125
2021-02-01,115461.12203125,116400.0778125,114674.73828125,115676.24734375,0.91140625
2021-03-01,115766.556875,116590.4046875,114923.303125,115726.5746875,0.3175
2021-04-01,115852.11328125,116943.136875,114943.64796875,116149.4365625,0.5701562499999999
2021-05-01,116258.9259375,117695.68375,115347.92015625,117000.5590625,1.34328125
2021-06-01,117002.27984375,118230.9596875,115665.2928125,116767.06796875,1.43578125
2021-07-01,116717.260625,117914.843125,115735.82375,117018.189375,1.49265625
2021-08-01,116983.40015625,118091.33671875,116073.9384375,117140.0709375,1.80703125
2021-09-01,117197.46375,118223.9340625,116341.6690625,117366.90671875,2.1740625000000002
2021-10-01,117412.8709375,118437.70859375,116614.4771875,117871.81421875,2.7353125
